Identifier,Level,Parent,Name_en,Name_fr,Name_de,Name_it
13,3,101.0,Stallikon,Stallikon,Stallikon,Stallikon
2,3,101.0,Affoltern am Albis,Affoltern am Albis,Affoltern am Albis,Affoltern am Albis
3,3,101.0,Bonstetten,Bonstetten,Bonstetten,Bonstetten
4,3,101.0,Hausen am Albis,Hausen am Albis,Hausen am Albis,Hausen am Albis
5,3,101.0,Hedingen,Hedingen,Hedingen,Hedingen
9,3,101.0,Mettmenstetten,Mettmenstetten,Mettmenstetten,Mettmenstetten
10,3,101.0,Obfelden,Obfelden,Obfelden,Obfelden
6,3,101.0,Kappel am Albis,Kappel am Albis,Kappel am Albis,Kappel am Albis
7,3,101.0,Knonau,Knonau,Knonau,Knonau
8,3,101.0,Maschwanden,Maschwanden,Maschwanden,Maschwanden
12,3,101.0,Rifferswil,Rifferswil,Rifferswil,Rifferswil
11,3,101.0,Ottenbach,Ottenbach,Ottenbach,Ottenbach
14,3,101.0,Wettswil am Albis,Wettswil am Albis,Wettswil am Albis,Wettswil am Albis
1,3,101.0,Aeugst am Albis,Aeugst am Albis,Aeugst am Albis,Aeugst am Albis
229,3,110.0,Wiesendangen,Wiesendangen,Wiesendangen,Wiesendangen
231,3,110.0,Zell (ZH),Zell (ZH),Zell (ZH),Zell (ZH)
230,3,110.0,Winterthur,Winterthur,Winterthur,Winterthur
228,3,110.0,Turbenthal,Turbenthal,Turbenthal,Turbenthal
213,3,110.0,Brütten,Brütten,Brütten,Brütten
216,3,110.0,Dinhard,Dinhard,Dinhard,Dinhard
214,3,110.0,Dägerlen,Dägerlen,Dägerlen,Dägerlen
215,3,110.0,Dättlikon,Dättlikon,Dättlikon,Dättlikon
211,3,110.0,Altikon,Altikon,Altikon,Altikon
212,3,110.0,Bertschikon,Bertschikon,Bertschikon,Bertschikon
220,3,110.0,Hagenbuch,Hagenbuch,Hagenbuch,Hagenbuch
218,3,110.0,Ellikon an der Thur,Ellikon an der Thur,Ellikon an der Thur,Ellikon an der Thur
217,3,110.0,Elgg,Elgg,Elgg,Elgg
221,3,110.0,Hettlingen,Hettlingen,Hettlingen,Hettlingen
